run,parameter,joint,value,lower,upper,normalized_distance_to_boundary
O,frictionloss,FR-thigh,0.16879802942276,0.0,1.0,0.16879802942276
O,frictionloss,FR-calf,0.890254557132721,0.0,1.0,0.10974544286727905
O,frictionloss,RL-abad,0.1811484694480896,0.0,1.0,0.1811484694480896
O,frictionloss,RL-thigh,0.19853812456130981,0.0,1.0,0.19853812456130981
O,frictionloss,RL-calf,0.5740265846252441,0.0,1.0,0.42597341537475586
O,frictionloss,RR-abad,0.2545524835586548,0.0,1.0,0.2545524835586548
O,frictionloss,RR-thigh,0.23991501331329346,0.0,1.0,0.23991501331329346
O,frictionloss,RR-calf,0.5955274105072021,0.0,1.0,0.40447258949279785
O,bias,FL-abad,-0.2541595995426178,-0.30000001192092896,0.30000001192092896,0.07640068426129483
O,bias,FL-thigh,0.09434741735458374,-0.30000001192092896,0.30000001192092896,0.3427543106574094
O,bias,FL-calf,-0.13673032820224762,-0.30000001192092896,0.30000001192092896,0.2721161287182121
O,bias,FR-abad,0.1763002574443817,-0.30000001192092896,0.30000001192092896,0.20616624926860136
O,bias,FR-thigh,0.17658069729804993,-0.30000001192092896,0.30000001192092896,0.20569884953106046
O,bias,FR-calf,-0.13198478519916534,-0.30000001192092896,0.30000001192092896,0.2800253667423977
O,bias,RL-abad,-0.1861141324043274,-0.30000001192092896,0.30000001192092896,0.18980979165197245
O,bias,RL-thigh,-0.19383877515792847,-0.30000001192092896,0.30000001192092896,0.1769353875742202
O,bias,RL-calf,0.1773476004600525,-0.30000001192092896,0.30000001192092896,0.20442067764517952
O,bias,RR-abad,0.2480875849723816,-0.30000001192092896,0.30000001192092896,0.08652070814288822
O,bias,RR-thigh,-0.11972358822822571,-0.30000001192092896,0.30000001192092896,0.3004606942152701
O,bias,RR-calf,0.23019498586654663,-0.30000001192092896,0.30000001192092896,0.11634170546763319
O,delay,shared,4.588862419128418,0.0,10.0,0.4588862419128418
A,armature,FL-abad,0.007808145135641098,9.999999974752427e-07,1.5,0.005204766893607002
A,armature,FL-thigh,0.002232060069218278,9.999999974752427e-07,1.5,0.0014873743710634468
A,armature,FL-calf,0.031875770539045334,9.999999974752427e-07,1.5,0.021249861192606
